cell_name	gene_name	tissue_type	gene_id
Schwalie et al.Nature.P3	Nr2f2	Adipose tissue	ENSMUSG00000030551
Schwalie et al.Nature.G1	Glt8d2	Adipose tissue	ENSMUSG00000020251
Schwalie et al.Nature.P2	Stx3	Adipose tissue	ENSMUSG00000041488
Schwalie et al.Nature.P3	Adamtsl3	Adipose tissue	ENSMUSG00000070469
Schwalie et al.Nature.P1	Cd248	Adipose tissue	ENSMUSG00000056481
Schwalie et al.Nature.G2	Peg3	Adipose tissue	ENSMUSG00000002265
Schwalie et al.Nature.G4	Rpl24	Adipose tissue	ENSMUSG00000098274
Schwalie et al.Nature.P1	Vgll3	Adipose tissue	ENSMUSG00000091243
Schwalie et al.Nature.G4	Carhsp1	Adipose tissue	ENSMUSG00000008393
Schwalie et al.Nature.G2	Col18a1	Adipose tissue	ENSMUSG00000001435
Schwalie et al.Nature.P1	Epdr1	Adipose tissue	ENSMUSG00000002808
Schwalie et al.Nature.P2	Fnip1	Adipose tissue	ENSMUSG00000035992
Schwalie et al.Nature.G2	Sparcl1	Adipose tissue	ENSMUSG00000029309
Chondrogenic cell	Sox5	Adipose tissue	ENSMUSG00000041540
Adipogenic cell	Cd36	Adipose tissue	ENSMUSG00000002944
Schwalie et al.Nature.G4	Cd34	Adipose tissue	ENSMUSG00000016494
Schwalie et al.Nature.G3	Cox7a2	Adipose tissue	ENSMUSG00000032330
Schwalie et al.Nature.P3	Ctsl	Adipose tissue	ENSMUSG00000021477
Schwalie et al.Nature.G1	Ablim1	Adipose tissue	ENSMUSG00000025085
Schwalie et al.Nature.G1	Lamp1	Adipose tissue	ENSMUSG00000031447
Schwalie et al.Nature.P1	Adgrd1	Adipose tissue	ENSMUSG00000044017
Schwalie et al.Nature.G1	Tnxb	Adipose tissue	ENSMUSG00000033327
Schwalie et al.Nature.G1	Fbln1	Adipose tissue	ENSMUSG00000006369
Schwalie et al.Nature.G1	Aldh1a3	Adipose tissue	ENSMUSG00000015134
Schwalie et al.Nature.G2	Fkbp9	Adipose tissue	ENSMUSG00000029781
Schwalie et al.Nature.P1	Ehd1	Adipose tissue	ENSMUSG00000024772
Schwalie et al.Nature.P1	Pi16	Adipose tissue	ENSMUSG00000024011
Schwalie et al.Nature.P3	Ephb2	Adipose tissue	ENSMUSG00000028664
Schwalie et al.Nature.G2	Pear1	Adipose tissue	ENSMUSG00000028073
