cell_name	gene_name	tissue_type	gene_id
Adipose-derived stem cell	POU5F1	Subcutaneous adipose tissue	ENSG00000230336
Adipose-derived stem cell	POU5F1	Subcutaneous adipose tissue	ENSG00000235068
Adipose-derived stem cell	POU5F1	Subcutaneous adipose tissue	ENSG00000233911
Adipose-derived stem cell	POU5F1	Subcutaneous adipose tissue	ENSG00000204531
Adipose-derived stem cell	SOX2	Subcutaneous adipose tissue	ENSG00000181449
Adipose-derived stem cell	NANOG	Subcutaneous adipose tissue	ENSG00000111704
Mesenchymal stem cell		Adipose tissue	
Adipose-derived stem cell		Subcutaneous adipose tissue	
Mesenchymal stem cell	POU5F1	Adipose tissue	ENSG00000206454
Mesenchymal stem cell	POU5F1	Adipose tissue	ENSG00000237582
Mesenchymal stem cell	POU5F1	Adipose tissue	ENSG00000229094
Mesenchymal stem cell	POU5F1	Adipose tissue	ENSG00000230336
Mesenchymal stem cell	POU5F1	Adipose tissue	ENSG00000235068
Mesenchymal stem cell	POU5F1	Adipose tissue	ENSG00000233911
Mesenchymal stem cell	POU5F1	Adipose tissue	ENSG00000204531
Mesenchymal stem cell	THY1	Adipose tissue	ENSG00000154096
Preadipocyte progenitor cell	CD34	Adipose tissue	ENSG00000174059
Preadipocyte progenitor cell		Adipose tissue	
Adipose-derived stem cell	VCAM1	Adipose tissue	ENSG00000162692
Adipose-derived stem cell	ITGB1	Adipose tissue	ENSG00000150093
Adipose-derived stem cell	PTPRC	Adipose tissue	ENSG00000262418
Adipose-derived stem cell	PTPRC	Adipose tissue	ENSG00000081237
Adipose-derived stem cell	THY1	Adipose tissue	ENSG00000154096
Adipose-derived stem cell	CD34	Adipose tissue	ENSG00000174059
Adipose-derived stem cell	PECAM1	Adipose tissue	ENSG00000261371
Adipose-derived stem cell	KLF4	Adipose tissue	ENSG00000136826
Adipose-derived stem cell	THY1	Adipose tissue	ENSG00000154096
Adipose-derived stem cell	PDGFRB	Adipose tissue	ENSG00000113721
Adipose-derived stem cell	MCAM	Adipose tissue	ENSG00000076706
Adipose-derived stem cell	NANOG	Adipose tissue	ENSG00000111704
Adipose-derived stem cell	SOX2	Adipose tissue	ENSG00000181449
Adipose-derived stem cell	POU5F1	Adipose tissue	ENSG00000206454
Adipose-derived stem cell	POU5F1	Adipose tissue	ENSG00000237582
Adipose-derived stem cell	POU5F1	Adipose tissue	ENSG00000229094
Adipose-derived stem cell	POU5F1	Adipose tissue	ENSG00000230336
Adipose-derived stem cell	POU5F1	Adipose tissue	ENSG00000235068
Adipose-derived stem cell	POU5F1	Adipose tissue	ENSG00000233911
Adipose-derived stem cell	POU5F1	Adipose tissue	ENSG00000204531
Adipose-derived stem cell		Adipose tissue	
Macrophage	FCGR2A	Adipose tissue	ENSG00000143226
